Starting Wi-Fi RTT Ranging...
Label: 11-3, Timestamp: 2025-01-03 19:37:47.745, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -72, Distance: 5327 mm, StdDev: 213 mm, timeStemp: 6672658132, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.745, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 132 mm, StdDev: 1042 mm, timeStemp: 6672658132, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.745, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 5244 mm, StdDev: 857 mm, timeStemp: 6672658132, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.745, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -72, Distance: 5327 mm, StdDev: 213 mm, timeStemp: 6672658132, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.745, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -67, Distance: 3172 mm, StdDev: 298 mm, timeStemp: 6672658131, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.890, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 132 mm, StdDev: 922 mm, timeStemp: 6672658276, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.890, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 132 mm, StdDev: 922 mm, timeStemp: 6672658276, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.890, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 6777 mm, StdDev: 280 mm, timeStemp: 6672658276, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.890, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 132 mm, StdDev: 922 mm, timeStemp: 6672658276, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.890, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 6777 mm, StdDev: 280 mm, timeStemp: 6672658276, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.890, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -72, Distance: 5288 mm, StdDev: 172 mm, timeStemp: 6672658276, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.890, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 132 mm, StdDev: 922 mm, timeStemp: 6672658276, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.890, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 6777 mm, StdDev: 280 mm, timeStemp: 6672658276, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.890, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -72, Distance: 5288 mm, StdDev: 172 mm, timeStemp: 6672658276, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.890, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -67, Distance: 3016 mm, StdDev: 331 mm, timeStemp: 6672658276, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.034, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 14 mm, StdDev: 1092 mm, timeStemp: 6672658421, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.034, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 14 mm, StdDev: 1092 mm, timeStemp: 6672658421, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.034, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 6689 mm, StdDev: 241 mm, timeStemp: 6672658421, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.034, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 14 mm, StdDev: 1092 mm, timeStemp: 6672658421, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.034, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 6689 mm, StdDev: 241 mm, timeStemp: 6672658421, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.034, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -73, Distance: 5210 mm, StdDev: 218 mm, timeStemp: 6672658421, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.034, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 14 mm, StdDev: 1092 mm, timeStemp: 6672658421, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.034, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 6689 mm, StdDev: 241 mm, timeStemp: 6672658421, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.034, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -73, Distance: 5210 mm, StdDev: 218 mm, timeStemp: 6672658421, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.034, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -68, Distance: 2664 mm, StdDev: 451 mm, timeStemp: 6672658421, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.175, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 249 mm, StdDev: 805 mm, timeStemp: 6672658564, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.175, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 249 mm, StdDev: 805 mm, timeStemp: 6672658564, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.175, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 4971 mm, StdDev: 936 mm, timeStemp: 6672658564, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.175, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 249 mm, StdDev: 805 mm, timeStemp: 6672658564, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.175, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 4971 mm, StdDev: 936 mm, timeStemp: 6672658564, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.175, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -73, Distance: 4897 mm, StdDev: 377 mm, timeStemp: 6672658564, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.175, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -54, Distance: 249 mm, StdDev: 805 mm, timeStemp: 6672658564, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:48.175, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 4971 mm, StdDev: 936 mm, timeStemp: 6672658564, mcOn: true
