Starting Wi-Fi RTT Ranging...
Label: 43, Timestamp: 2024-11-28 15:17:44.055, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -61, Distance: -414 mm, StdDev: 424 mm, timeStemp: 3546644694, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.055, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -55, Distance: 5786 mm, StdDev: 1081 mm, timeStemp: 3546644694, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.055, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 5405 mm, StdDev: 1280 mm, timeStemp: 3546644694, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.055, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -64, Distance: 2425 mm, StdDev: 825 mm, timeStemp: 3546644694, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.159, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -63, Distance: -375 mm, StdDev: 751 mm, timeStemp: 3546644798, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.159, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -63, Distance: -375 mm, StdDev: 751 mm, timeStemp: 3546644798, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.159, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 6001 mm, StdDev: 1313 mm, timeStemp: 3546644798, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.159, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -63, Distance: -375 mm, StdDev: 751 mm, timeStemp: 3546644798, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.159, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 6001 mm, StdDev: 1313 mm, timeStemp: 3546644798, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.159, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 4975 mm, StdDev: 2143 mm, timeStemp: 3546644798, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.159, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -63, Distance: -375 mm, StdDev: 751 mm, timeStemp: 3546644798, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.159, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 6001 mm, StdDev: 1313 mm, timeStemp: 3546644798, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.159, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 4975 mm, StdDev: 2143 mm, timeStemp: 3546644798, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.159, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -68, Distance: 4163 mm, StdDev: 1967 mm, timeStemp: 3546644798, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.256, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -61, Distance: -336 mm, StdDev: 389 mm, timeStemp: 3546644881, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.256, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -61, Distance: -336 mm, StdDev: 389 mm, timeStemp: 3546644881, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.256, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -56, Distance: 5971 mm, StdDev: 196 mm, timeStemp: 3546644881, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.256, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -61, Distance: -336 mm, StdDev: 389 mm, timeStemp: 3546644881, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.256, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -56, Distance: 5971 mm, StdDev: 196 mm, timeStemp: 3546644881, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.256, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 5014 mm, StdDev: 2064 mm, timeStemp: 3546644881, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.256, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -61, Distance: -336 mm, StdDev: 389 mm, timeStemp: 3546644881, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.256, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -56, Distance: 5971 mm, StdDev: 196 mm, timeStemp: 3546644881, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.256, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -69, Distance: 5014 mm, StdDev: 2064 mm, timeStemp: 3546644881, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:44.256, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -61, Distance: 3014 mm, StdDev: 639 mm, timeStemp: 3546644881, mcOn: true
