Label,X Position (meters),Y Position (meters),AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP5_Distance (mm),AP6_Distance (mm),AP7_Distance (mm),AP8_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP5_Rssi,AP6_Rssi,AP7_Rssi,AP8_Rssi
0,-0.41,15.69,45615.15,20479.05,48702.45,41470.05,56512.5,46911.45,31206.6,47927.85,-67,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45614.55,20479.2,48704.25,41469.45,56695.8,46910.25,31206.3,47928,-67,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45614.1,20479.35,48706.2,41469,56096.25,46909.05,31206,47928,-67,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45613.65,20479.5,48708,41468.4,53945.7,46907.85,31205.85,47928.15,-68,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45613.2,20479.65,48709.65,41467.95,55584.15,46906.8,31205.55,47928.15,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45612.15,20479.95,48713.4,41467.05,56441.85,46904.25,31204.8,47928.3,-68,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45611.7,20480.1,48715.2,41466.6,57352.5,46903.2,31204.65,47928.45,-68,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45611.25,20480.25,48717,41466.15,56709.15,46902,31204.35,47928.45,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45610.2,20480.55,48720.45,41465.1,54902.7,46899.6,31203.75,47928.6,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45609.75,20480.7,48722.4,41464.65,55885.5,46898.4,31203.45,47928.6,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45609.3,20480.85,48724.2,41464.2,56221.2,46897.2,31203.15,47928.75,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45608.7,20481,48726,41463.6,54658.2,46896,31203,47928.75,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45607.35,20481.3,48731.4,41462.25,56908.65,46892.55,31202.1,47929.05,-68,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45606.75,20481.45,48733.2,41461.65,56377.2,46891.35,31201.95,47929.05,-68,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45606.3,20481.6,48735,41461.2,54894.3,46890.15,31201.65,47929.2,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45605.85,20481.75,48736.95,41460.75,55080.6,46889.1,31201.35,47929.2,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45604.95,20482.05,48740.4,41459.85,54022.95,46886.55,31200.75,47929.35,-68,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45604.35,20482.2,48742.2,41459.25,55937.4,46885.5,31200.45,47929.5,-68,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45603.9,20482.35,48744.15,41458.8,55360.5,46884.3,31200.15,47929.5,-68,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45602.85,20482.65,48747.6,41457.75,54413.55,46881.9,31199.55,47929.65,-68,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45602.4,20482.8,48749.4,41457.3,55152.9,46880.7,31199.25,47929.65,-68,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45601.95,20482.95,48751.2,41456.85,55340.7,46879.5,31199.1,47929.8,-68,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45601.35,20483.1,48753,41456.25,55190.25,46878.3,31198.8,47929.8,-68,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45600.45,20483.25,48756.75,41455.35,56277.75,46875.9,31198.2,47929.95,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45422.85,20533.95,49416.15,41605.35,55898.55,46444.95,31096.5,47955.3,-68,-37,-72,-68,-78,-64,-54,-72
0,-0.41,15.69,45422.55,20534.25,49417.95,42502.65,55897.5,46443.75,31096.2,47955.45,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45421.95,20534.4,49419.75,40809.45,55896.6,46442.55,31095.9,47955.45,-68,-37,-72,-68,-78,-64,-54,-72
0,-0.41,15.69,45421.5,20534.55,49421.55,40809.3,55895.55,46441.35,31095.45,47955.6,-68,-37,-72,-68,-78,-64,-54,-72
0,-0.41,15.69,45421.05,20534.7,49423.35,40809.3,55894.5,46440.15,31095.3,47955.6,-68,-37,-72,-68,-78,-64,-54,-72
0,-0.41,15.69,45420.15,20534.85,49427.1,41226.9,55892.4,46437.75,31094.7,47955.75,-68,-37,-72,-68,-78,-64,-54,-72
0,-0.41,15.69,45419.55,20535,49428.75,40843.2,55891.5,46436.7,31094.4,47955.9,-68,-37,-72,-68,-78,-64,-54,-72
0,-0.41,15.69,45419.1,20535.15,49430.55,43395.45,55890.3,46435.35,31094.1,47955.9,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45418.65,20535.3,49432.5,42140.4,55889.25,46434.15,31093.8,47956.05,-68,-37,-72,-68,-78,-64,-54,-72
0,-0.41,15.69,45418.05,20535.45,49434.15,41746.8,55888.35,46433.1,31093.65,47956.05,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45417.15,20535.6,49437.9,43253.1,55886.25,46430.7,31093.05,47956.2,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45416.55,20535.75,49439.7,42875.7,55885.2,46429.5,31092.75,47956.2,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45416.1,20535.9,49441.5,42318,55884.15,46428.45,31092.45,47956.35,-68,-37,-72,-68,-78,-64,-54,-72
0,-0.41,15.69,45415.5,20536.05,49443.3,43532.85,55883.1,46427.25,31092.3,47956.35,-68,-37,-72,-68,-78,-64,-54,-72
0,-0.41,15.69,45415.2,20536.2,49445.1,42369.6,55882.05,46426.05,31092,47956.5,-68,-37,-72,-68,-78,-64,-54,-72
0,-0.41,15.69,45414.75,20536.35,49446.9,44541.3,55881,46424.85,31091.7,47956.5,-68,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45414.15,20536.65,49448.7,44146.05,55879.95,46423.65,31091.4,47956.65,-68,-37,-72,-68,-78,-64,-54,-72
0,-0.41,15.69,45412.65,20536.95,49454.1,42046.8,55876.8,46420.2,31090.65,47956.8,-68,-37,-72,-68,-78,-64,-54,-72
